计算机组成原理::# 目录	目录	https://www.bilibili.com/video/BV1ps4y1d73V/?spm_id_from=333.1391.0.0&p=67&vd_source=26d909d5a5fbd30986799418a48a7f9e# 计算机组成原理<br/><br/>- <a href="#121-计算机基本组成">1.2.1 计算机基本组成</a><br/>  - <a href="#冯诺依曼计算机的特点">冯诺依曼计算机的特点</a><br/>- <a href="#122-现代计算机的结构">1.2.2 现代计算机的结构</a><br/>  - <a href="#主存储器的基本组成">主存储器的基本组成</a><br/>  - <a href="#运算器的基本组成">运算器的基本组成</a><br/>  - <a href="#控制器的基本组成">控制器的基本组成</a><br/>- <a href="#123-计算机软件">1.2.3 计算机软件</a><br/>- <a href="#124-计算机系统的层次结构">1.2.4 计算机系统的层次结构</a><br/>- <a href="#125-计算机系统的工作原理">1.2.5 计算机系统的工作原理</a><br/>- <a href="#13-计算机的性能指标">1.3 计算机的性能指标</a><br/>- <a href="#自测问题">自测问题</a><br/>- <a href="#关键词索引">关键词索引</a><br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.2.1 计算机基本组成	- **输入设备**：将信息转换成机器能识别的格式。<br/>- **存储器**：存放程序和数据。<br/>- **运算器**：进行**算术运算**和**逻辑运算**。<br/>- **控制器**：指挥程序运行。<br/>- **输出设备**：将结果转换成人们熟悉的形式。<br/><br/>> **注**：在计算机系统中，软件和硬件在逻辑上是等效的。例如，乘法运算既可以通过专门的硬件电路实现，也可以通过软件执行多次加法运算来完成。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	冯诺依曼计算机的特点	1. 计算机由五大基本部分组成。<br/>2. 指令和数据以同等地位存储于存储器中，可按地址访问。<br/>3. 指令和数据均用**二进制**表示。<br/>4. 指令由**操作码**和**地址码**组成。<br/>5. **存储程序思想**。<br/>6. 以运算器为中心（与现代计算机的区别，缺陷在于输入/输出设备与存储器之间的数据交互需通过运算器完成）。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.2.2 现代计算机的结构	- 大致与冯诺依曼计算机相似。<br/>- **区别**：以**存储器**为中心，输入/输出设备与存储器之间的数据交互是直接的。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	主存储器的基本组成	1. **存储体**：包含 **MAR**（存储地址寄存器）和 **MDR**（存储数据寄存器）。<br/>2. **数据读取过程**：CPU → MAR → 存储体 → MDR → CPU。<br/>3. **存储单元**：数据在存储体内按地址存储，每个地址对应一个存储单元。<br/>4. **存储字 (Word)**：存储单元中二进制代码的组合。<br/>5. **存储字长**：存储单元中二进制代码的位数。<br/>6. **存储元**：存储二进制的电子元件，每个存储元可存 1 bit。<br/><br/>- **MAR 位数**：反映存储单元的个数。<br/>- **MDR 位数**：等于存储字长。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	运算器的基本组成	运算器用于实现**算术运算**（如加减乘除）和**逻辑运算**（如与或非）。<br/>- **ACC**：累加寄存器，用于存放操作数或运算结果。<br/>- **MQ**：乘商寄存器，在乘除运算时用于存放操作数或结果。<br/>- **X**：通用操作数寄存器，用于存放操作数。<br/>- **ALU**：算术逻辑单元，通过内部复杂电路实现算术和逻辑运算。<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	控制器的基本组成	- **PC**：程序计数器，存放下一条指令地址，并具有自动加“1”功能。<br/>- **IR**：指令寄存器，存放当前执行的指令。<br/>- **CU**：控制单元，分析指令并发出控制信号。<br/><br/>**指令完成过程**：PC → IR → CU<br/><br/>---<br/>	计算机组成原理第一章
计算机组成原理::# 目录	1.2.3 计算机软件	(无内容，参考原文)	计算机组成原理第一章
计算机组成原理::# 目录	系统软件和应用软件	- **系统软件**：负责管理硬件资源，并向上层应用程序提供基础服务。<br/>- **应用软件**：为了解决某个应用领域的问题而编制的程序。<br/>	计算机组成原理第一章
计算机组成原理::# 目录	编程语言类型	- **机器语言**：**二进制代码**，直接由计算机硬件执行。<br/>- **汇编语言**：使用**助记符**，比机器语言更易于人类理解。<br/>- **高级语言**：如 **C/C++**、**Java**，更接近人类语言，易于编写和维护。<br/>	计算机组成原理第一章
